"date","cumul_nb_personnes_vaccinees","heure","source"
"2020-12-27",45,"00h00","Estimation CovidTracker"
"2020-12-28",55,"00h00","Estimation CovidTracker"
"2020-12-29",138,"22h00","Ministère de la Santé"
"2020-12-30",332,"20h30","Ministère de la Santé"
"2020-12-31",352,"20h30","Estimation CovidTracker"
"2021-01-01",516,"20h30","Ministère de la Santé"
"2021-01-02",516,"20h30",""
"2021-01-03",516,"20h30",""
"2021-01-04",2000,"20h30","Estimation"
"2021-01-05",7000,"17h","Ministère de la Santé"
"2021-01-06",19500,"17h","Ministère de la Santé"
"2021-01-07",45695,"18h","Estimation"
"2021-01-08",36000,"18h","Estimation"
